Invoice Date,Year,Quarter,Month,Invoice Type,Invoice Number,Invoice  Line,Product Code,Market,Customer Number,Area,Agent,Unit Price Customer ILS,Unit Price  USD,QTY Supply ,QTY Order,% Supply
19/04/2020,2020,2020-Q2,Apr-2020,Sold,404556,16,SKU123,Leumit,CUST12345, Galil,Mohse ,900,250.6265664,864,960,0.9
26/04/2020,2020,2020-Q2,Apr-2020,Sold,404608,24,SKU146,Leumit,CUST12345, Galil,Mohse ,5080.875,1441.791998,270,300,0.9
25/05/2020,2020,2020-Q2,May-2020,Sold,404788,10,SKU145,Leumit,CUST12345, Galil,Mohse ,1350,382.5446303,200,200,1
31/05/2020,2020,2020-Q2,May-2020,Sold,404810,9,SKU310,Leumit,CUST12345, Galil,Mohse ,387.765,110.7267276,252,252,1
21/06/2020,2020,2020-Q2,Jun-2020,Sold,404956,18,SKU422,Leumit,CUST12345, Galil,Mohse ,737.875,214.0629533,5,5,1
24/06/2020,2020,2020-Q2,Jun-2020,Sold,404983,1,SKU431,Leumit,CUST12345, Galil,Mohse ,20.39,5.937682,1,1,1
02/07/2020,2020,2020-Q3,Jul-2020,Sold,405040,3,SKU320,Leumit,CUST12345, Galil,Mohse ,1160,335.8425015,640,640,1
23/07/2020,2020,2020-Q3,Jul-2020,Sold,88108,8,SKU461,Leumit,CUST12345, Galil,Mohse ,20998.8,6141.795847,960,960,1
26/07/2020,2020,2020-Q3,Jul-2020,Sold,405191,31,SKU443,Leumit,CUST12345, Galil,Mohse ,39.94,11.67836263,4,4,1
27/07/2020,2020,2020-Q3,Jul-2020,Sold,405203,1,SKU350,Leumit,CUST12345, Galil,Mohse ,456.5,133.4795321,440,440,1
13/08/2020,2020,2020-Q3,Aug-2020,Sold,405315,2,SKU470,Leumit,CUST12345, Galil,Mohse ,91.875,26.97445688,150,150,1
19/04/2020,2020,2020-Q2,Apr-2020,Sold,404558,1,SKU124, Private market,CUST12346, Galil,Eli,12.1275,3.377193,2,2,1
04/08/2020,2020,2020-Q3,Aug-2020,Sold,405253,3,SKU448, Private market,CUST12346, Galil,Eli,3.75,1.098096625,2,2,1
30/09/2020,2020,2020-Q3,Sep-2020,Sold,405614,1,SKU157, Private market,CUST12346, Galil,Eli,50.25,14.52732,30,30,1
19/04/2020,2020,2020-Q2,Apr-2020,Sold,404558,4,SKU125, Private market,CUST12347, Galil,Aviv,5.07625,1.4136035,1,1,1
29/09/2020,2020,2020-Q3,Sep-2020,Sold,405599,5,SKU517, Private market,CUST12347, Galil,Aviv,7.17,2.068070375,3,3,1
19/04/2020,2020,2020-Q2,Apr-2020,Sold,463270,16,SKU126, Private market,CUST12348, Galil,Dalia ,5.955,1.6583125,2,2,1
08/01/2021,2021,2021-Q1,Jan-2021,Sold,463705,6,SKU215, Private market,CUST12348, Galil,Dalia ,0,0,3,6,0.5
25/01/2021,2021,2021-Q1,Jan-2021,Sold,463731,4,SKU544, Private market,CUST12348, Galil,Dalia ,0,0,3,5,0.6
19/04/2020,2020,2020-Q2,Apr-2020,Sold,470525,35,SKU127, Private market,CUST12349, Galil,Eli,7.075,1.96855875,4,4,1
22/04/2020,2020,2020-Q2,Apr-2020,Sold,470544,1,SKU152, Private market,CUST12349, Galil,Eli,7.9,2.224099125,1,1,1
17/05/2020,2020,2020-Q2,May-2020,Sold,159913,3,SKU147, Private market,CUST12349, Galil,Eli,74.5,21.086895,2,2,1
01/06/2020,2020,2020-Q2,Jun-2020,Return,104066,3,SKU344, Private market,CUST12349, Galil,Eli,-5.23625,-1.495217,-1,-1,1
21/06/2020,2020,2020-Q2,Jun-2020,Sold,470816,5,SKU131, Private market,CUST12349, Galil,Eli,168.875,48.991877,10,10,1
04/08/2020,2020,2020-Q3,Aug-2020,Sold,471024,12,SKU180, Private market,CUST12349, Galil,Eli,26.25,7.686676375,9,10,0.9
25/10/2020,2020,2020-Q4,Oct-2020,Sold,471404,34,SKU216, Private market,CUST12349, Galil,Eli,12.1375,3.593102375,10,10,1
01/11/2020,2020,2020-Q4,Nov-2020,Sold,471434,11,SKU196, Private market,CUST12349, Galil,Eli,23,6.721215625,10,10,1
